,cohort,type_3,cohort_tot,cohort_grad,gradrate,online
153,2004.0,10.0,12564.0,2515.0,0.2001751,
154,2005.0,10.0,41589.0,16395.0,0.3942148,
155,2006.0,10.0,61561.0,12451.0,0.20225467,
156,2007.0,10.0,86842.0,18284.0,0.21054329,
157,2008.0,10.0,124241.0,23458.0,0.18881045,
158,2009.0,10.0,135470.0,24439.0,0.18040156,
159,2010.0,10.0,82819.0,13188.0,0.15923882,
160,1991.0,99.0,956956.0,497902.0,0.5202977,0.0
161,1992.0,99.0,971202.0,504449.0,0.51940686,0.0
162,1993.0,99.0,980691.0,513943.0,0.5240621,0.0
163,1994.0,99.0,977157.0,518379.0,0.53049713,0.0
164,1995.0,99.0,1018638.0,550545.0,0.5404717,0.0
165,1996.0,99.0,1100835.0,598753.0,0.54390806,0.0
166,1997.0,99.0,1128848.0,622613.0,0.5515472,0.0
167,1998.0,99.0,1182161.0,653148.0,0.5525034,0.0
168,1999.0,99.0,1210928.0,679874.0,0.56144875,0.0
169,2000.0,99.0,1243645.0,705880.0,0.56758964,0.0
170,2001.0,99.0,1266944.0,720836.0,0.5689565,0.0
171,2002.0,99.0,1296604.0,739476.0,0.57031757,0.0
172,2003.0,99.0,1333168.0,766157.0,0.57468903,0.0
173,2004.0,99.0,1346705.0,776884.0,0.57687765,0.0
174,2005.0,99.0,1365020.0,790661.0,0.57923037,0.0
175,2006.0,99.0,1402694.0,821434.0,0.5856117,0.0
176,2007.0,99.0,1439223.0,843557.0,0.5861197,0.0
177,2008.0,99.0,1477767.0,872225.0,0.5902318,0.0
178,2009.0,99.0,1490537.0,876993.0,0.58837384,0.0
179,2010.0,99.0,1492966.0,891869.0,0.59738064,0.0
